longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,rooms_per_household,bedrooms_per_room,population_per_household,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,target,prediction
-118.29014058413365,33.963557385122066,30.416670524988554,6354.3173877264235,1008.4370773864515,2001.6154482304287,946.6368298339015,7.986479277180654,6.996820847988151,0.157166384627084,2.4759870388628964,False,False,False,False,500001.0,481690.76666666666
-120.44779665581586,35.242422721790234,24.289342103044447,2002.126402571767,310.6095217447551,905.8678424244936,261.195654372105,4.9309150486979405,6.8811576487626676,0.1538379215828675,3.1038555731245094,False,False,False,False,162500.0,228516.7
-118.31978869298173,34.19827927637434,35.59184582489991,1375.8812286923155,270.5122224759355,799.4620720156619,323.2998291224845,4.214573717885953,5.468887081960123,0.18576661805578687,3.084348965290386,False,False,False,False,204600.0,212633.33333333334
-117.79381006986429,33.91048684740097,35.339504527315924,1322.962545012544,355.5597317076697,1220.8016435299148,303.1187709298095,3.342385412475758,5.818971836378364,0.19343759955355397,3.693188841000278,False,False,False,False,159700.0,174850.0
-117.11707419565408,32.997761818363784,37.344970779862116,3650.7798857782377,604.2604719434354,1635.3378440549404,614.535883597468,4.3847057311490305,6.160093824979083,0.15516122168683774,2.4082136461050836,False,False,False,True,184000.0,243726.66666666666
-118.0870708950247,34.20064458144511,37.17025870359932,1782.0982055039758,412.4466080374189,1573.2124664431399,333.2725516717471,4.409416543766378,4.666911053921037,0.21256615250705008,4.1073438009960705,False,False,False,False,151900.0,158283.33333333334
-121.9525150474791,37.80642031788358,48.76105665705289,1943.2227495289824,359.4646912109524,789.7267425593886,356.5268989394469,1.3648369772342426,5.181433121932429,0.22368460297368478,2.45243243490626,False,False,True,False,104900.0,126073.33333333333
-122.10571491811906,37.37738619013143,25.89095704474023,5583.645804223327,832.415659956496,2056.860116865675,687.0240176978017,7.063713092665753,7.152250862073356,0.14881023245071545,3.0013937835151325,False,False,False,True,500001.0,393816.86666666664
-122.12438313295378,37.348100749620436,13.20146143926047,3010.3018928093134,806.648253138416,1376.3949923018708,741.5454798452608,4.365088253491157,3.7049170721672393,0.3072788521299266,1.6941345368845482,False,False,False,False,367400.0,241740.03333333333
-117.50092372605761,33.50191360857013,23.75316977212149,2121.096244312936,504.80045005977456,843.6738602788747,398.65941126371644,3.780197540535584,5.859484737502151,0.17935158063269918,2.644711490538558,False,False,False,True,346500.0,246093.33333333334
